age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.308,2718.,3.216,1.0005
0.0000,0.062,-1.269,2722.,3.197,1.0426
0.0000,0.065,-1.229,2727.,3.178,1.0888
0.0000,0.067,-1.202,2730.,3.165,1.1200
0.0000,0.067,-1.195,2730.,3.162,1.1287
0.0000,0.069,-1.177,2733.,3.153,1.1510
0.0000,0.070,-1.163,2734.,3.147,1.1681
0.0000,0.070,-1.160,2735.,3.145,1.1723
0.0000,0.071,-1.148,2736.,3.140,1.1867
0.0000,0.071,-1.140,2737.,3.136,1.1973
0.0000,0.072,-1.138,2737.,3.135,1.2001
0.0000,0.072,-1.130,2738.,3.131,1.2103
0.0000,0.073,-1.121,2739.,3.127,1.2210
0.0000,0.073,-1.114,2740.,3.123,1.2311
0.0000,0.074,-1.105,2741.,3.119,1.2429
0.0000,0.075,-1.093,2743.,3.113,1.2588
0.0000,0.076,-1.079,2745.,3.107,1.2771
0.0000,0.077,-1.065,2747.,3.101,1.2960
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.079,-1.042,2750.,3.090,1.3282
0.0000,0.080,-1.028,2752.,3.083,1.3475
0.0000,0.081,-1.013,2754.,3.076,1.3692
0.0000,0.083,-0.995,2757.,3.068,1.3952
0.0000,0.085,-0.974,2760.,3.059,1.4253
0.0000,0.087,-0.950,2763.,3.048,1.4608
0.0000,0.089,-0.924,2767.,3.036,1.5014
0.0000,0.092,-0.893,2772.,3.022,1.5503
0.0000,0.096,-0.858,2778.,3.006,1.6075
0.0000,0.099,-0.820,2784.,2.989,1.6723
0.0000,0.104,-0.774,2793.,2.969,1.7520
0.0000,0.110,-0.721,2805.,2.947,1.8452
0.0000,0.117,-0.660,2822.,2.922,1.9562
0.0000,0.124,-0.591,2844.,2.895,2.0859
0.0000,0.134,-0.512,2873.,2.864,2.2403
0.0000,0.145,-0.425,2905.,2.830,2.4207
0.0000,0.156,-0.335,2946.,2.798,2.6104
0.0000,0.169,-0.245,2988.,2.766,2.8128
0.0000,0.186,-0.114,3068.,2.724,3.1046
0.0000,0.206,0.025,3162.,2.682,3.4315
0.0000,0.229,0.171,3266.,2.638,3.8019
0.0000,0.255,0.316,3371.,2.594,4.2194
0.0000,0.284,0.456,3468.,2.550,4.6830
0.0000,0.316,0.589,3548.,2.503,5.2122
0.0000,0.352,0.726,3643.,2.459,5.7908
0.0000,0.386,0.841,3719.,2.420,6.3415
0.0000,0.418,0.937,3778.,2.386,6.8633
0.0000,0.456,1.036,3834.,2.351,7.4648
0.0000,0.491,1.118,3878.,2.320,8.0278
0.0000,0.524,1.190,3914.,2.292,8.5598
0.0000,0.067,-1.202,2730.,3.165,1.1200
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.060,-1.308,2718.,3.216,1.0005
0.0000,0.062,-1.269,2722.,3.197,1.0426
0.0000,0.065,-1.229,2727.,3.178,1.0888
0.0000,0.067,-1.195,2730.,3.162,1.1287
0.0000,0.069,-1.177,2733.,3.153,1.1510
0.0000,0.070,-1.163,2734.,3.147,1.1681
0.0000,0.070,-1.160,2735.,3.145,1.1723
0.0000,0.071,-1.148,2736.,3.140,1.1867
0.0000,0.071,-1.140,2737.,3.136,1.1973
0.0000,0.072,-1.138,2737.,3.135,1.2001
0.0000,0.072,-1.130,2738.,3.131,1.2104
0.0000,0.073,-1.121,2739.,3.127,1.2210
0.0000,0.073,-1.114,2740.,3.123,1.2311
0.0000,0.074,-1.105,2741.,3.119,1.2429
0.0000,0.075,-1.093,2743.,3.113,1.2588
0.0000,0.076,-1.079,2745.,3.107,1.2771
0.0000,0.077,-1.065,2747.,3.101,1.2960
0.0000,0.079,-1.042,2750.,3.090,1.3282
0.0000,0.080,-1.028,2752.,3.083,1.3475
0.0000,0.081,-1.013,2754.,3.076,1.3692
0.0000,0.083,-0.995,2757.,3.068,1.3952
0.0000,0.085,-0.974,2760.,3.059,1.4253
0.0000,0.087,-0.950,2763.,3.048,1.4608
0.0000,0.089,-0.924,2767.,3.036,1.5014
0.0000,0.092,-0.893,2772.,3.022,1.5503
0.0000,0.096,-0.858,2778.,3.006,1.6075
0.0000,0.099,-0.820,2784.,2.989,1.6723
0.0000,0.104,-0.774,2794.,2.969,1.7520
0.0000,0.110,-0.721,2805.,2.947,1.8452
0.0000,0.117,-0.660,2822.,2.922,1.9562
0.0000,0.124,-0.591,2844.,2.895,2.0859
0.0000,0.134,-0.512,2873.,2.864,2.2403
0.0000,0.145,-0.425,2905.,2.830,2.4207
0.0000,0.156,-0.335,2946.,2.798,2.6105
0.0000,0.169,-0.245,2988.,2.766,2.8129
0.0000,0.186,-0.114,3068.,2.724,3.1046
0.0000,0.206,0.025,3162.,2.682,3.4315
0.0000,0.229,0.171,3266.,2.638,3.8019
0.0000,0.255,0.316,3371.,2.594,4.2194
0.0000,0.284,0.456,3468.,2.550,4.6830
0.0000,0.316,0.589,3548.,2.503,5.2122
0.0000,0.352,0.726,3643.,2.459,5.7908
0.0000,0.386,0.841,3719.,2.420,6.3415
0.0000,0.418,0.937,3778.,2.386,6.8633
0.0000,0.456,1.035,3834.,2.351,7.4647
0.0000,0.491,1.118,3877.,2.320,8.0277
0.0000,0.524,1.190,3913.,2.292,8.5597
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.079,-1.041,2750.,3.090,1.3282
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.186,-0.113,3069.,2.724,3.1046
0.0000,0.456,1.035,3833.,2.351,7.4647
0.0000,0.087,-0.950,2763.,3.048,1.4608
0.0000,0.104,-0.773,2794.,2.969,1.7520
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.078,-1.053,2748.,3.095,1.3124
0.0000,0.060,-1.308,2718.,3.216,1.0005
0.0000,0.062,-1.269,2722.,3.197,1.0426
0.0000,0.065,-1.229,2727.,3.178,1.0888
0.0000,0.067,-1.195,2731.,3.162,1.1287
0.0000,0.069,-1.177,2733.,3.153,1.1510
0.0000,0.070,-1.163,2734.,3.147,1.1681
0.0000,0.070,-1.160,2735.,3.145,1.1723
0.0000,0.071,-1.148,2736.,3.140,1.1867
0.0000,0.071,-1.140,2737.,3.136,1.1973
0.0000,0.072,-1.137,2737.,3.135,1.2002
0.0000,0.072,-1.129,2738.,3.131,1.2104
0.0000,0.073,-1.121,2739.,3.127,1.2210
0.0000,0.073,-1.113,2740.,3.123,1.2311
0.0000,0.074,-1.104,2742.,3.119,1.2429
0.0000,0.075,-1.092,2743.,3.113,1.2589
0.0000,0.076,-1.079,2745.,3.107,1.2771
0.0000,0.077,-1.065,2747.,3.100,1.2961
0.0000,0.080,-1.028,2752.,3.083,1.3475
0.0000,0.081,-1.012,2754.,3.076,1.3692
0.0000,0.083,-0.994,2757.,3.068,1.3952
0.0000,0.085,-0.974,2760.,3.059,1.4254
0.0000,0.089,-0.924,2768.,3.036,1.5014
