age,mass,Lbol,teff,logg,radius
0.0000,0.060,-1.365,2607.,3.200,1.0185
0.0000,0.061,-1.346,2608.,3.191,1.0399
0.0000,0.064,-1.306,2612.,3.172,1.0856
0.0000,0.065,-1.283,2613.,3.161,1.1133
0.0000,0.066,-1.274,2614.,3.156,1.1242
0.0000,0.067,-1.260,2615.,3.149,1.1416
0.0000,0.068,-1.246,2617.,3.142,1.1594
0.0000,0.069,-1.237,2618.,3.138,1.1710
0.0000,0.069,-1.233,2618.,3.136,1.1758
0.0000,0.069,-1.227,2618.,3.133,1.1834
0.0000,0.070,-1.225,2619.,3.132,1.1854
0.0000,0.070,-1.220,2619.,3.130,1.1918
0.0000,0.070,-1.219,2619.,3.129,1.1937
0.0000,0.071,-1.211,2620.,3.126,1.2038
0.0000,0.071,-1.201,2621.,3.121,1.2163
0.0000,0.072,-1.191,2622.,3.116,1.2302
0.0000,0.073,-1.177,2623.,3.109,1.2485
0.0000,0.074,-1.166,2624.,3.104,1.2638
0.0000,0.075,-1.155,2625.,3.099,1.2787
0.0000,0.076,-1.140,2627.,3.092,1.2992
0.0000,0.077,-1.124,2628.,3.084,1.3216
0.0000,0.079,-1.108,2630.,3.076,1.3452
0.0000,0.080,-1.094,2631.,3.070,1.3648
0.0000,0.081,-1.077,2633.,3.062,1.3906
0.0000,0.083,-1.054,2636.,3.051,1.4248
0.0000,0.085,-1.029,2639.,3.040,1.4626
0.0000,0.088,-1.003,2642.,3.027,1.5048
0.0000,0.091,-0.970,2646.,3.012,1.5574
0.0000,0.095,-0.934,2650.,2.995,1.6197
0.0000,0.099,-0.894,2653.,2.977,1.6899
0.0000,0.104,-0.848,2660.,2.956,1.7729
0.0000,0.110,-0.794,2672.,2.933,1.8718
0.0000,0.116,-0.731,2688.,2.907,1.9877
0.0000,0.125,-0.659,2709.,2.879,2.1254
0.0000,0.134,-0.580,2733.,2.847,2.2882
0.0000,0.145,-0.499,2759.,2.816,2.4635
0.0000,0.156,-0.416,2788.,2.784,2.6551
